"database_id","drug_concept_id","drug","ingredient_concept_id","ingredient","variable","n_records","n_records_not_missing_value","n_records_missing_value","proportion_records_missing_value","result_obscured"
"CPRD GOLD",21120866,"Ciprofloxacin 250 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21120866,"Ciprofloxacin 250 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21120866,"Ciprofloxacin 250 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21120866,"Ciprofloxacin 250 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21120866,"Ciprofloxacin 250 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21120866,"Ciprofloxacin 250 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21120866,"Ciprofloxacin 250 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21120866,"Ciprofloxacin 250 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21120866,"Ciprofloxacin 250 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21120866,"Ciprofloxacin 250 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21120866,"Ciprofloxacin 250 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21120866,"Ciprofloxacin 250 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21120866,"Ciprofloxacin 250 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21120866,"Ciprofloxacin 250 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21120866,"Ciprofloxacin 250 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21120866,"Ciprofloxacin 250 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21120866,"Ciprofloxacin 250 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21120866,"Ciprofloxacin 250 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21111217,"Ciprofloxacin 50 MG/ML Oral Suspension [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_drug_exposure_start_date",15,15,0,0,FALSE
"CPRD GOLD",21111217,"Ciprofloxacin 50 MG/ML Oral Suspension [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_drug_exposure_end_date",15,15,0,0,FALSE
"CPRD GOLD",21111217,"Ciprofloxacin 50 MG/ML Oral Suspension [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_verbatim_end_date",15,0,15,1,FALSE
"CPRD GOLD",21111217,"Ciprofloxacin 50 MG/ML Oral Suspension [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_drug_type_concept_id",15,15,0,0,FALSE
"CPRD GOLD",21111217,"Ciprofloxacin 50 MG/ML Oral Suspension [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_stop_reason",15,0,15,1,FALSE
"CPRD GOLD",21111217,"Ciprofloxacin 50 MG/ML Oral Suspension [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_refills",15,15,0,0,FALSE
"CPRD GOLD",21111217,"Ciprofloxacin 50 MG/ML Oral Suspension [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_quantity",15,15,0,0,FALSE
"CPRD GOLD",21111217,"Ciprofloxacin 50 MG/ML Oral Suspension [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_days_supply",15,15,0,0,FALSE
"CPRD GOLD",21111217,"Ciprofloxacin 50 MG/ML Oral Suspension [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_sig",15,15,0,0,FALSE
"CPRD GOLD",21111217,"Ciprofloxacin 50 MG/ML Oral Suspension [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_route_concept_id",15,15,0,0,FALSE
"CPRD GOLD",21111217,"Ciprofloxacin 50 MG/ML Oral Suspension [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_lot_number",15,0,15,1,FALSE
"CPRD GOLD",21111217,"Ciprofloxacin 50 MG/ML Oral Suspension [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_provider_id",15,15,0,0,FALSE
"CPRD GOLD",21111217,"Ciprofloxacin 50 MG/ML Oral Suspension [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_visit_occurrence_id",15,15,0,0,FALSE
"CPRD GOLD",21111217,"Ciprofloxacin 50 MG/ML Oral Suspension [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_visit_detail_id",15,15,0,0,FALSE
"CPRD GOLD",21111217,"Ciprofloxacin 50 MG/ML Oral Suspension [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_drug_source_value",15,15,0,0,FALSE
"CPRD GOLD",21111217,"Ciprofloxacin 50 MG/ML Oral Suspension [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_drug_source_concept_id",15,15,0,0,FALSE
"CPRD GOLD",21111217,"Ciprofloxacin 50 MG/ML Oral Suspension [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_route_source_value",15,0,15,1,FALSE
"CPRD GOLD",21111217,"Ciprofloxacin 50 MG/ML Oral Suspension [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_dose_unit_source_value",15,0,15,1,FALSE
"CPRD GOLD",21140601,"Ciprofloxacin 250 MG Oral Tablet [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_drug_exposure_start_date",853,853,0,0,FALSE
"CPRD GOLD",21140601,"Ciprofloxacin 250 MG Oral Tablet [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_drug_exposure_end_date",853,853,0,0,FALSE
"CPRD GOLD",21140601,"Ciprofloxacin 250 MG Oral Tablet [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_verbatim_end_date",853,0,853,1,FALSE
"CPRD GOLD",21140601,"Ciprofloxacin 250 MG Oral Tablet [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_drug_type_concept_id",853,853,0,0,FALSE
"CPRD GOLD",21140601,"Ciprofloxacin 250 MG Oral Tablet [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_stop_reason",853,0,853,1,FALSE
"CPRD GOLD",21140601,"Ciprofloxacin 250 MG Oral Tablet [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_refills",853,853,0,0,FALSE
"CPRD GOLD",21140601,"Ciprofloxacin 250 MG Oral Tablet [Ciproxin] by Bayer",1797513,"ciprofloxacin","n_missing_quantity",853,853,0,0,FALSE
