"database_id","ingredient_concept_id","ingredient","variable","n_records","n_records_not_missing_value","n_records_missing_value","proportion_records_missing_value","result_obscured"
"CPRD GOLD",1797513,"ciprofloxacin","n_missing_drug_exposure_start_date",14816,14816,0,0,FALSE
"CPRD GOLD",1797513,"ciprofloxacin","n_missing_drug_exposure_end_date",14816,14816,0,0,FALSE
"CPRD GOLD",1797513,"ciprofloxacin","n_missing_verbatim_end_date",14816,0,14816,1,FALSE
"CPRD GOLD",1797513,"ciprofloxacin","n_missing_drug_type_concept_id",14816,14816,0,0,FALSE
"CPRD GOLD",1797513,"ciprofloxacin","n_missing_stop_reason",14816,0,14816,1,FALSE
"CPRD GOLD",1797513,"ciprofloxacin","n_missing_refills",14816,14816,0,0,FALSE
"CPRD GOLD",1797513,"ciprofloxacin","n_missing_quantity",14816,14816,0,0,FALSE
"CPRD GOLD",1797513,"ciprofloxacin","n_missing_days_supply",14816,14816,0,0,FALSE
"CPRD GOLD",1797513,"ciprofloxacin","n_missing_sig",14816,14816,0,0,FALSE
"CPRD GOLD",1797513,"ciprofloxacin","n_missing_route_concept_id",14816,14816,0,0,FALSE
"CPRD GOLD",1797513,"ciprofloxacin","n_missing_lot_number",14816,0,14816,1,FALSE
"CPRD GOLD",1797513,"ciprofloxacin","n_missing_provider_id",14816,14489,327,0.0220707343412527,FALSE
"CPRD GOLD",1797513,"ciprofloxacin","n_missing_visit_occurrence_id",14816,14816,0,0,FALSE
"CPRD GOLD",1797513,"ciprofloxacin","n_missing_visit_detail_id",14816,14816,0,0,FALSE
"CPRD GOLD",1797513,"ciprofloxacin","n_missing_drug_source_value",14816,14816,0,0,FALSE
"CPRD GOLD",1797513,"ciprofloxacin","n_missing_drug_source_concept_id",14816,14816,0,0,FALSE
"CPRD GOLD",1797513,"ciprofloxacin","n_missing_route_source_value",14816,0,14816,1,FALSE
"CPRD GOLD",1797513,"ciprofloxacin","n_missing_dose_unit_source_value",14816,0,14816,1,FALSE
"CPRD GOLD",1716903,"moxifloxacin","n_missing_drug_exposure_start_date",39,39,0,0,FALSE
