"database_id","drug_concept_id","drug","ingredient_concept_id","ingredient","n_records","n_non_negative_days","n_negative_days","proportion_negative_days","minimum_drug_exposure_days","q05_drug_exposure_days","q10_drug_exposure_days","q25_drug_exposure_days","median_drug_exposure_days","q75_drug_exposure_days","q90_drug_exposure_days","q95_drug_exposure_days","maximum_drug_exposure_days","result_obscured"
"CPRD GOLD",1797513,"ciprofloxacin",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",1797515,"ciprofloxacin 250 MG Oral Tablet",1797513,"ciprofloxacin",340441,340441,0,0,1,5,5,5,5,7,7,28,202,FALSE
"CPRD GOLD",1797516,"ciprofloxacin 750 MG Oral Tablet",1797513,"ciprofloxacin",13820,13820,0,0,1,5,5,7,7,14,18,28,42,FALSE
"CPRD GOLD",1797580,"ciprofloxacin 500 MG Extended Release Oral Tablet",1797513,"ciprofloxacin",6,6,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",19021637,"ciprofloxacin 100 MG Oral Tablet",1797513,"ciprofloxacin",13434,13434,0,0,3,3,3,3,3,3,5,7,84,FALSE
"CPRD GOLD",19075377,"ciprofloxacin 0.003 MG/MG Ophthalmic Ointment",1797513,"ciprofloxacin",1434,1434,0,0,5,5,5,7,7,7,7,7,7,FALSE
"CPRD GOLD",19075378,"ciprofloxacin 3 MG/ML Ophthalmic Solution",1797513,"ciprofloxacin",31163,31163,0,0,3,3,7,7,7,7,7,7,30,FALSE
"CPRD GOLD",19075379,"ciprofloxacin 50 MG/ML Oral Suspension",1797513,"ciprofloxacin",16125,16125,0,0,1,5,5,5,7,7,14,28,90,FALSE
"CPRD GOLD",19075380,"ciprofloxacin 500 MG Oral Tablet",1797513,"ciprofloxacin",478684,478684,0,0,1,5,5,5,5,7,7,14,90,FALSE
"CPRD GOLD",21022833,"Ciprofloxacin 250 MG Oral Tablet by A A H",1797513,"ciprofloxacin",11,11,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",21032606,"Ciprofloxacin 500 MG Oral Tablet by A A H",1797513,"ciprofloxacin",48,48,0,0,1,1,1,1,1,1,1,1,1,FALSE
