"database_id","drug_concept_id","drug","ingredient_concept_id","ingredient","variable","n_records","n_records_not_missing_value","n_records_missing_value","proportion_records_missing_value","result_obscured"
"CPRD GOLD",21140596,"Ciprofloxacin 250 MG Oral Tablet by Sandoz",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21140596,"Ciprofloxacin 250 MG Oral Tablet by Sandoz",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21140596,"Ciprofloxacin 250 MG Oral Tablet by Sandoz",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21140596,"Ciprofloxacin 250 MG Oral Tablet by Sandoz",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21140596,"Ciprofloxacin 250 MG Oral Tablet by Sandoz",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21140596,"Ciprofloxacin 250 MG Oral Tablet by Sandoz",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21140596,"Ciprofloxacin 250 MG Oral Tablet by Sandoz",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21140596,"Ciprofloxacin 250 MG Oral Tablet by Sandoz",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21140596,"Ciprofloxacin 250 MG Oral Tablet by Sandoz",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21140596,"Ciprofloxacin 250 MG Oral Tablet by Sandoz",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21140596,"Ciprofloxacin 250 MG Oral Tablet by Sandoz",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21140596,"Ciprofloxacin 250 MG Oral Tablet by Sandoz",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21140596,"Ciprofloxacin 250 MG Oral Tablet by Sandoz",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21140596,"Ciprofloxacin 250 MG Oral Tablet by Sandoz",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,TRUE
